confederation,stadium,city,hometeams,capacity,country,ioc,population,home_team_clean
UEFA,underhill_stadium,barnet,-,6200,england,ENG,55619400,-
UEFA,vale_park,stoke-on-trent,port_vale,19052,england,ENG,55619400,port_vale
UEFA,valley_parade_stadium,bradford,bradford_city,25100,england,ENG,55619400,bradford_city
UEFA,vicarage_road,watford,watford_fc,21000,england,ENG,55619400,watford_fc
UEFA,victoria_park,hartlepool,hartlepool_united,7856,england,ENG,55619400,hartlepool_united
UEFA,victoria_road,london,dagenham_&_redbridge,6078,england,ENG,55619400,dagenham_&_redbridge
UEFA,villa_park,birmingham,aston_villa,42682,england,ENG,55619400,aston_villa
UEFA,vitality_stadium,bournemouth,afc_bournemouth,11360,england,ENG,55619400,afc_bournemouth
UEFA,wembley,london,tottenham,90652,england,ENG,55619400,tottenham
UEFA,wham_stadium,accrington,stanley,5057,england,ENG,55619400,stanley
UEFA,white_hart_lane,london,tottenham,32000,england,ENG,55619400,tottenham
